"","EndDates","EndLocation","StartDates","StartLocation"
"4528",2017-12-13,"AS7",2017-12-13,"House 12"
"4529",2015-04-12,"University Town",2015-04-12,"KR MRT Station "
"4530",2015-11-09,"University Town",2015-11-09,"KR MRT Station "
"4531",2016-02-11,"Opp. House 12",2016-02-11,"LT29"
"4532",2017-11-13,"University Town",2017-11-13,"KR MRT Station "
"4533",2016-08-23,"Computer Centre",2016-08-23,"Opp. Yusof Ishak House"
"4534",2016-04-20,"KR MRT Station ",2016-04-20,"Computer Centre"
"4535",2017-09-14,"Computer Centre",2017-09-14,"S17"
"4536",2016-09-08,"KR MRT Station ",2016-09-08,"Central Library"
"4537",2017-10-02,"Central Library",2017-10-02,"Computer Centre"
"4538",2017-04-18,"Opp. KR MRT Station",2017-04-18,"LT29"
"4539",2016-10-14,"Central Library",2016-10-14,"LT29"
"4540",2015-07-08,"KR MRT Station ",2015-07-08,"KR MRT Station "
"4541",2015-02-06,"Computer Centre",2015-02-06,"University Town"
"4542",2015-01-06,"KR MRT Station ",2015-01-06,"COM2"
"4543",2016-09-08,"S17",2016-09-08,"LT29"
"4544",2017-05-19,"KR MRT Station ",2017-05-19,"Opp. KR MRT Station"
"4545",2016-06-28,"AS7",2016-06-28,"Central Library"
"4546",2017-04-24,"University Town",2017-04-24,"Computer Centre"
"4547",2016-04-14,"COM2",2016-04-14,"University Town"
"4548",2017-01-13,"S17",2017-01-13,"University Town"
"4549",2017-01-05,"Central Library",2017-01-05,"LT29"
"4550",2015-09-21,"S17",2015-09-21,"LT29"
"4551",2015-10-29,"KR MRT Station ",2015-10-29,"House 12"
"4552",2015-09-25,"COM2",2015-09-25,"Computer Centre"
"4553",2016-04-25,"University Town",2016-04-25,"KR MRT Station "
"4554",2015-06-01,"Computer Centre",2015-06-01,"University Town"
"4555",2017-07-21,"Computer Centre",2017-07-21,"COM2"
"4556",2016-10-27,"KR MRT Station ",2016-10-27,"Opp. KR MRT Station"
"4557",2016-09-13,"KR MRT Station ",2016-09-13,"Opp. KR MRT Station"
"4558",2016-02-19,"KR MRT Station ",2016-02-19,"Central Library"
"4559",2017-07-18,"COM2",2017-07-18,"KR MRT Station "
"4560",2016-07-07,"Raffles Hall",2016-07-07,"KR MRT Station "
"4561",2017-02-11,"COM2",2017-02-11,"S17"
"4562",2017-06-08,"COM2",2017-06-08,"University Town"
"4563",2017-09-11,"Opp. KR MRT Station",2017-09-11,"Computer Centre"
"4564",2016-12-06,"KR MRT Station ",2016-12-06,"University Town"
"4565",2016-01-01,"COM2",2016-01-01,"Opp. Yusof Ishak House"
"4566",2017-06-15,"KR MRT Station ",2017-06-15,"Opp. University Hall"
"4567",2017-05-17,"KR MRT Station ",2017-05-17,"S17"
"4568",2017-03-20,"Opp. KR MRT Station",2017-03-20,"University Town"
"4569",2015-03-09,"KR MRT Station ",2015-03-09,"Central Library"
"4570",2017-12-13,"University Town",2017-12-13,"KR MRT Station "
"4571",2016-03-15,"Kent Ridge Bus Terminal",2016-03-15,"Computer Centre"
"4572",2016-01-06,"Opp. KR MRT Station",2016-01-06,"Opp. House 12"
"4573",2015-09-04,"LT29",2015-09-04,"KR MRT Station "
"4574",2017-04-06,"University Town",2017-04-06,"Opp. NUSS"
"4575",2016-10-01,"Central Library",2016-10-01,"AS7"
"4576",2015-04-29,"KR MRT Station ",2015-04-29,"Museum"
"4577",2016-10-17,"S17",2016-10-17,"Opp. NUSS"
"4578",2016-11-16,"LT29",2016-11-16,"University Town"
"4579",2015-01-16,"COM2",2015-01-16,"Opp. KR MRT Station"
"4580",2017-10-17,"KR MRT Station ",2017-10-17,"University Town"
"4581",2017-08-22,"Central Library",2017-08-22,"LT29"
"4582",2017-05-25,"University Town",2017-05-25,"LT29"
"4583",2015-09-11,"S17",2015-09-11,"University Town"
"4584",2016-10-14,"COM2",2016-10-14,"KR MRT Station "
"4585",2017-02-20,"KR MRT Station ",2017-02-20,"Computer Centre"
"4586",2017-11-25,"KR MRT Station ",2017-11-25,"LT29"
"4587",2015-01-12,"University Town",2015-01-12,"COM2"
"4588",2017-01-18,"Central Library",2017-01-18,"KR MRT Station "
"4589",2016-12-12,"KR MRT Station ",2016-12-12,"LT29"
"4590",2017-08-17,"University Town",2017-08-17,"Central Library"
"4591",2015-12-11,"Computer Centre",2015-12-11,"KR MRT Station "
"4592",2016-10-25,"Computer Centre",2016-10-25,"COM2"
"4593",2017-09-08,"Opp. Yusof Ishak House",2017-09-08,"Central Library"
"4594",2015-10-15,"Opp. KR MRT Station",2015-10-15,"University Town"
"4595",2016-05-02,"University Health Centre",2016-05-02,"Computer Centre"
"4596",2017-09-21,"Opp. KR MRT Station",2017-09-21,"KR MRT Station "
"4597",2015-12-14,"COM2",2015-12-14,"Yusof Ishak House"
"4598",2017-08-02,"LT29",2017-08-02,"Computer Centre"
"4599",2016-11-24,"University Town",2016-11-24,"PGP"
"4600",2015-04-16,"Opp. Yusof Ishak House",2015-04-16,"COM2"
"4601",2015-04-06,"KR MRT Station ",2015-04-06,"University Health Centre"
"4602",2017-09-11,"Central Library",2017-09-11,"University Town"
"4603",2015-07-06,"AS7",2015-07-06,"KR MRT Station "
"4604",2015-06-18,"Central Library",2015-06-18,"LT29"
"4605",2015-07-11,"Computer Centre",2015-07-11,"Central Library"
"4606",2017-07-28,"KR MRT Station ",2017-07-28,"University Town"
"4607",2017-05-24,"Computer Centre",2017-05-24,"Raffles Hall"
"4608",2015-09-23,"House 15",2015-09-23,"University Town"
"4609",2017-05-11,"S17",2017-05-11,"LT29"
"4610",2017-12-19,"KR MRT Station ",2017-12-19,"University Town"
"4611",2017-02-17,"Computer Centre",2017-02-17,"COM2"
"4612",2016-12-26,"Central Library",2016-12-26,"Computer Centre"
"4613",2017-03-14,"University Town",2017-03-14,"Central Library"
"4614",2016-11-04,"S17",2016-11-04,"Opp. KR MRT Station"
"4615",2016-01-15,"S17",2016-01-15,"Opp. University Health Centre"
"4616",2016-07-21,"KR MRT Station ",2016-07-21,"COM2"
"4617",2016-06-17,"Opp. KR MRT Station",2016-06-17,"Computer Centre"
"4618",2017-03-12,"University Hall",2017-03-12,"KR MRT Station "
"4619",2015-01-20,"LT29",2015-01-20,"KR MRT Station "
"4620",2017-02-09,"Opp. University Health Centre",2017-02-09,"Museum"
"4621",2016-01-21,"Central Library",2016-01-21,"KR MRT Station "
"4622",2017-05-11,"Opp. University Health Centre",2017-05-11,"LT29"
"4623",2017-12-25,"University Town",2017-12-25,"University Hall"
"4624",2017-05-10,"Central Library",2017-05-10,"Opp. Hon Sui Sen Memorial Library"
"4625",2016-07-25,"S17",2016-07-25,"Museum"
"4626",2015-07-09,"House 7",2015-07-09,"Opp. KR MRT Station"
"4627",2015-09-04,"S17",2015-09-04,"KR MRT Station "
"4628",2015-07-15,"Opp. KR MRT Station",2015-07-15,"University Town"
"4629",2015-06-24,"Opp. KR MRT Station",2015-06-24,"University Town"
"4630",2017-03-08,"Central Library",2017-03-08,"University Town"
"4631",2016-02-04,"Central Library",2016-02-04,"BIZ2"
"4632",2016-06-25,"Opp. Yusof Ishak House",2016-06-25,"COM2"
"4633",2017-04-08,"Computer Centre",2017-04-08,"KR MRT Station "
"4634",2017-04-17,"University Health Centre",2017-04-17,"Central Library"
"4635",2015-01-12,"KR MRT Station ",2015-01-12,"Central Library"
"4636",2015-09-24,"University Town",2015-09-24,"KR MRT Station "
"4637",2017-07-29,"LT29",2017-07-29,"Central Library"
"4638",2016-12-06,"Opp. KR MRT Station",2016-12-06,"COM2"
"4639",2017-03-23,"LT13",2017-03-23,"COM2"
"4640",2015-03-06,"KR MRT Station ",2015-03-06,"COM2"
"4641",2016-08-03,"KR MRT Station ",2016-08-03,"S17"
"4642",2017-05-10,"KR MRT Station ",2017-05-10,"University Town"
"4643",2016-10-17,"KR MRT Station ",2016-10-17,"University Town"
"4644",2017-03-18,"University Town",2017-03-18,"KR MRT Station "
"4645",2017-04-18,"Computer Centre",2017-04-18,"S17"
"4646",2016-03-08,"COM2",2016-03-08,"Opp. KR MRT Station"
"4647",2015-02-16,"LT29",2015-02-16,"S17"
"4648",2015-10-07,"University Town",2015-10-07,"KR MRT Station "
"4649",2017-04-21,"House 15",2017-04-21,"Carpark 11 (BIZ)"
"4650",2015-07-25,"KR MRT Station ",2015-07-25,"University Town"
"4651",2017-07-10,"LT29",2017-07-10,"Central Library"
"4652",2017-03-28,"Computer Centre",2017-03-28,"University Town"
"4653",2015-12-08,"S17",2015-12-08,"LT29"
"4654",2017-04-15,"Computer Centre",2017-04-15,"COM2"
"4655",2017-05-01,"KR MRT Station ",2017-05-01,"Opp. Yusof Ishak House"
"4656",2017-12-28,"EA",2017-12-28,"Yusof Ishak House"
"4657",2016-01-04,"Central Library",2016-01-04,"University Town"
"4658",2016-05-26,"Opp. KR MRT Station",2016-05-26,"Central Library"
"4659",2015-11-03,"KR MRT Station ",2015-11-03,"Central Library"
"4660",2017-06-01,"Central Library",2017-06-01,"House 7"
"4661",2015-03-19,"COM2",2015-03-19,"Opp. University Health Centre"
"4662",2017-09-20,"Opp. NUSS",2017-09-20,"Central Library"
"4663",2017-08-11,"Opp. KR MRT Station",2017-08-11,"Opp. Yusof Ishak House"
"4664",2017-11-06,"House 15",2017-11-06,"KR MRT Station "
"4665",2016-06-18,"Opp. KR MRT Station",2016-06-18,"KR MRT Station "
"4666",2017-03-24,"Opp. Yusof Ishak House",2017-03-24,"S17"
"4667",2017-12-01,"KR MRT Station ",2017-12-01,"Computer Centre"
"4668",2017-04-01,"Opp. KR MRT Station",2017-04-01,"Opp. KR MRT Station"
"4669",2016-01-28,"LT29",2016-01-28,"Yusof Ishak House"
"4670",2017-02-08,"Central Library",2017-02-08,"LT29"
"4671",2015-01-08,"KR MRT Station ",2015-01-08,"University Town"
"4672",2015-03-19,"KR MRT Station ",2015-03-19,"Central Library"
"4673",2015-08-03,"University Town",2015-08-03,"House 12"
"4674",2017-08-29,"LT29",2017-08-29,"University Town"
"4675",2016-10-14,"Computer Centre",2016-10-14,"LT29"
"4676",2017-11-08,"LT29",2017-11-08,"S17"
"4677",2017-08-10,"University Town",2017-08-10,"COM2"
"4678",2015-08-25,"Central Library",2015-08-25,"KR MRT Station "
"4679",2015-03-27,"S17",2015-03-27,"Opp. House 12"
"4680",2016-04-07,"Central Library",2016-04-07,"Opp. University Health Centre"
"4681",2017-11-09,"University Town",2017-11-09,"Central Library"
"4682",2017-02-03,"Computer Centre",2017-02-03,"Raffles Hall"
"4683",2015-02-24,"University Hall",2015-02-24,"KR MRT Station "
"4684",2017-09-13,"University Town",2017-09-13,"S17"
"4685",2017-02-18,"Computer Centre",2017-02-18,"COM2"
"4686",2017-10-04,"Yusof Ishak House",2017-10-04,"Opp. NUSS"
"4687",2015-12-04,"KR MRT Station ",2015-12-04,"Computer Centre"
"4688",2015-03-16,"Opp. KR MRT Station",2015-03-16,"University Town"
"4689",2015-04-30,"EA",2015-04-30,"S17"
"4690",2016-02-01,"LT29",2016-02-01,"COM2"
"4691",2017-03-29,"Opp. KR MRT Station",2017-03-29,"KR MRT Station "
"4692",2017-04-15,"University Town",2017-04-15,"Opp. KR MRT Station"
"4693",2015-02-27,"University Town",2015-02-27,"S17"
"4694",2015-07-12,"COM2",2015-07-12,"Computer Centre"
"4695",2015-02-09,"Opp. KR MRT Station",2015-02-09,"Yusof Ishak House"
"4696",2015-09-11,"Opp. KR MRT Station",2015-09-11,"KR MRT Station "
"4697",2017-02-19,"LT29",2017-02-19,"University Town"
"4698",2017-10-30,"S17",2017-10-30,"LT29"
"4699",2017-12-28,"AS7",2017-12-28,"Opp. KR MRT Station"
"4700",2015-05-18,"KR MRT Station ",2015-05-18,"Computer Centre"
"4701",2016-06-28,"Yusof Ishak House",2016-06-28,"Opp. KR MRT Station"
"4702",2015-04-24,"COM2",2015-04-24,"Central Library"
"4703",2015-09-18,"KR MRT Station ",2015-09-18,"Computer Centre"
"4704",2017-10-26,"Computer Centre",2017-10-26,"House 15"
"4705",2017-06-14,"University Town",2017-06-14,"KR MRT Station "
"4706",2016-09-12,"COM2",2016-09-12,"University Health Centre"
"4707",2017-02-24,"Opp. KR MRT Station",2017-02-24,"S17"
"4708",2016-05-29,"KR MRT Station ",2016-05-29,"Computer Centre"
"4709",2016-07-13,"LT13",2016-07-13,"University Town"
"4710",2016-06-08,"Opp. KR MRT Station",2016-06-08,"University Health Centre"
"4711",2016-05-27,"S17",2016-05-27,"Central Library"
"4712",2016-07-20,"Raffles Hall",2016-07-20,"LT29"
"4713",2017-02-27,"LT29",2017-02-27,"University Hall"
"4714",2017-01-09,"University Town",2017-01-09,"House 15"
"4715",2015-01-28,"University Town",2015-01-28,"Opp. KR MRT Station"
"4716",2017-09-22,"COM2",2017-09-22,"Computer Centre"
"4717",2015-12-11,"COM2",2015-12-11,"Carpark 11 (BIZ)"
"4718",2016-05-20,"Central Library",2016-05-20,"COM2"
"4719",2016-09-02,"LT29",2016-09-02,"Raffles Hall"
"4720",2015-05-05,"University Town",2015-05-05,"Opp. House 12"
"4721",2017-04-12,"Opp. KR MRT Station",2017-04-12,"University Town"
"4722",2016-09-08,"KR MRT Station ",2016-09-08,"Opp. Yusof Ishak House"
"4723",2017-09-20,"Opp. University Hall",2017-09-20,"COM2"
"4724",2016-10-21,"S17",2016-10-21,"KR MRT Station "
"4725",2015-12-09,"COM2",2015-12-09,"KR MRT Station "
"4726",2016-05-30,"LT29",2016-05-30,"KR MRT Station "
"4727",2015-09-04,"Computer Centre",2015-09-04,"University Town"
"4728",2016-09-19,"University Town",2016-09-19,"COM2"
"4729",2017-12-27,"LT29",2017-12-27,"COM2"
"4730",2015-09-04,"Computer Centre",2015-09-04,"Opp. KR MRT Station"
"4731",2015-06-01,"Kent Ridge Bus Terminal",2015-06-01,"Opp. KR MRT Station"
"4732",2015-12-07,"KR MRT Station ",2015-12-07,"PGP"
"4733",2015-10-27,"House 15",2015-10-27,"COM2"
"4734",2016-07-27,"LT29",2016-07-27,"KR MRT Station "
"4735",2017-01-27,"Yusof Ishak House",2017-01-27,"KR MRT Station "
"4736",2015-08-17,"KR MRT Station ",2015-08-17,"Central Library"
"4737",2015-04-18,"Computer Centre",2015-04-18,"Opp. House 12"
"4738",2015-08-26,"Opp. KR MRT Station",2015-08-26,"University Town"
"4739",2016-04-08,"Central Library",2016-04-08,"Carpark 11 (BIZ)"
"4740",2015-02-02,"University Town",2015-02-02,"LT29"
"4741",2017-07-07,"University Town",2017-07-07,"Opp. NUSS"
"4742",2015-05-12,"House 15",2015-05-12,"Opp. KR MRT Station"
"4743",2016-06-22,"Central Library",2016-06-22,"University Health Centre"
"4744",2017-04-21,"COM2",2017-04-21,"University Town"
"4745",2016-11-03,"KR MRT Station ",2016-11-03,"AS7"
"4746",2016-05-03,"LT13",2016-05-03,"Opp. KR MRT Station"
"4747",2016-10-21,"LT29",2016-10-21,"KR MRT Station "
"4748",2016-01-06,"University Town",2016-01-06,"Yusof Ishak House"
"4749",2015-01-30,"KR MRT Station ",2015-01-30,"University Town"
"4750",2015-08-28,"KR MRT Station ",2015-08-28,"Opp. KR MRT Station"
"4751",2017-08-07,"S17",2017-08-07,"KR MRT Station "
"4752",2017-11-12,"Central Library",2017-11-12,"University Town"
"4753",2016-09-23,"S17",2016-09-23,"University Town"
"4754",2015-01-12,"Central Library",2015-01-12,"AS7"
"4755",2017-09-28,"LT29",2017-09-28,"Central Library"
"4756",2015-12-23,"LT29",2015-12-23,"Opp. University Health Centre"
"4757",2016-02-08,"Opp. KR MRT Station",2016-02-08,"COM2"
"4758",2016-04-21,"COM2",2016-04-21,"Kent Ridge Bus Terminal"
"4759",2016-03-03,"LT29",2016-03-03,"KR MRT Station "
"4760",2017-09-08,"LT29",2017-09-08,"Opp. KR MRT Station"
"4761",2016-10-25,"LT29",2016-10-25,"Central Library"
"4762",2015-01-29,"S17",2015-01-29,"KR MRT Station "
"4763",2017-12-21,"S17",2017-12-21,"Computer Centre"
"4764",2016-10-15,"Computer Centre",2016-10-15,"S17"
"4765",2016-04-01,"LT13",2016-04-01,"Central Library"
"4766",2015-12-25,"S17",2015-12-25,"LT29"
"4767",2016-01-07,"Computer Centre",2016-01-07,"KR MRT Station "
"4768",2015-06-10,"University Town",2015-06-10,"S17"
"4769",2015-04-22,"LT29",2015-04-22,"Computer Centre"
"4770",2016-10-01,"KR MRT Station ",2016-10-01,"Ventus (Opp. LT13)"
"4771",2015-11-13,"Opp. KR MRT Station",2015-11-13,"KR MRT Station "
"4772",2016-06-23,"KR MRT Station ",2016-06-23,"COM2"
"4773",2016-03-23,"University Town",2016-03-23,"Opp. KR MRT Station"
"4774",2016-04-06,"University Town",2016-04-06,"KR MRT Station "
"4775",2017-07-28,"House 7",2017-07-28,"Central Library"
"4776",2015-04-01,"LT29",2015-04-01,"KR MRT Station "
"4777",2016-06-14,"University Town",2016-06-14,"Central Library"
"4778",2017-07-29,"COM2",2017-07-29,"Central Library"
"4779",2017-03-09,"Opp. KR MRT Station",2017-03-09,"Computer Centre"
"4780",2016-03-11,"LT29",2016-03-11,"COM2"
"4781",2015-02-15,"Central Library",2015-02-15,"Opp. University Hall"
"4782",2016-02-17,"Opp. University Health Centre",2016-02-17,"Opp. KR MRT Station"
"4783",2015-05-18,"PGP",2015-05-18,"Opp. University Hall"
"4784",2015-07-31,"University Town",2015-07-31,"LT29"
"4785",2015-09-25,"Opp. KR MRT Station",2015-09-25,"KR MRT Station "
"4786",2015-01-30,"KR MRT Station ",2015-01-30,"Opp. KR MRT Station"
"4787",2016-07-26,"Opp. KR MRT Station",2016-07-26,"University Town"
"4788",2015-09-15,"PGP",2015-09-15,"LT29"
"4789",2015-10-28,"S17",2015-10-28,"LT29"
"4790",2015-06-02,"Central Library",2015-06-02,"KR MRT Station "
"4791",2015-03-16,"Computer Centre",2015-03-16,"Opp. Yusof Ishak House"
"4792",2017-10-20,"Computer Centre",2017-10-20,"EA"
"4793",2016-04-25,"KR MRT Station ",2016-04-25,"Computer Centre"
"4794",2016-01-28,"KR MRT Station ",2016-01-28,"Opp. KR MRT Station"
"4795",2015-12-18,"EA",2015-12-18,"KR MRT Station "
"4796",2016-03-11,"University Town",2016-03-11,"KR MRT Station "
"4797",2017-10-02,"University Town",2017-10-02,"Ventus (Opp. LT13)"
"4798",2015-10-14,"KR MRT Station ",2015-10-14,"University Town"
"4799",2015-11-09,"University Town",2015-11-09,"Computer Centre"
"4800",2015-06-03,"S17",2015-06-03,"KR MRT Station "
"4801",2017-08-18,"Yusof Ishak House",2017-08-18,"COM2"
"4802",2015-08-27,"S17",2015-08-27,"KR MRT Station "
"4803",2017-07-27,"Opp. University Hall",2017-07-27,"University Town"
"4804",2017-09-15,"LT29",2017-09-15,"S17"
"4805",2015-01-27,"University Town",2015-01-27,"KR MRT Station "
"4806",2017-06-01,"PGP",2017-06-01,"LT13"
"4807",2016-10-15,"House 15",2016-10-15,"Opp. KR MRT Station"
"4808",2016-01-11,"LT29",2016-01-11,"Central Library"
"4809",2015-10-15,"Computer Centre",2015-10-15,"University Town"
"4810",2015-02-08,"Computer Centre",2015-02-08,"S17"
"4811",2016-02-23,"Central Library",2016-02-23,"University Town"
"4812",2017-05-30,"S17",2017-05-30,"KR MRT Station "
"4813",2017-02-13,"KR MRT Station ",2017-02-13,"Opp. KR MRT Station"
"4814",2016-12-01,"KR MRT Station ",2016-12-01,"House 12"
"4815",2017-12-28,"LT13",2017-12-28,"COM2"
"4816",2016-10-11,"Central Library",2016-10-11,"University Town"
"4817",2015-04-14,"Central Library",2015-04-14,"KR MRT Station "
"4818",2016-11-23,"KR MRT Station ",2016-11-23,"COM2"
"4819",2015-01-26,"KR MRT Station ",2015-01-26,"Opp. Hon Sui Sen Memorial Library"
"4820",2016-07-06,"University Town",2016-07-06,"KR MRT Station "
"4821",2016-10-06,"Opp. KR MRT Station",2016-10-06,"S17"
"4822",2015-12-25,"University Town",2015-12-25,"Computer Centre"
"4823",2015-06-05,"COM2",2015-06-05,"University Town"
"4824",2016-10-22,"Central Library",2016-10-22,"Computer Centre"
"4825",2017-11-17,"KR MRT Station ",2017-11-17,"Raffles Hall"
"4826",2016-03-04,"S17",2016-03-04,"Central Library"
"4827",2015-12-17,"Opp. KR MRT Station",2015-12-17,"KR MRT Station "
"4828",2016-05-26,"KR MRT Station ",2016-05-26,"Opp. KR MRT Station"
"4829",2016-04-21,"Computer Centre",2016-04-21,"KR MRT Station "
"4830",2017-10-18,"Opp. KR MRT Station",2017-10-18,"S17"
"4831",2015-02-11,"Computer Centre",2015-02-11,"Central Library"
"4832",2016-08-10,"LT29",2016-08-10,"KR MRT Station "
"4833",2016-03-17,"Central Library",2016-03-17,"S17"
"4834",2017-05-24,"Computer Centre",2017-05-24,"S17"
"4835",2016-05-24,"Computer Centre",2016-05-24,"Kent Ridge Bus Terminal"
"4836",2017-02-26,"S17",2017-02-26,"LT29"
"4837",2016-10-29,"Opp. KR MRT Station",2016-10-29,"Computer Centre"
"4838",2015-04-18,"S17",2015-04-18,"Computer Centre"
"4839",2017-05-25,"S17",2017-05-25,"COM2"
"4840",2015-07-06,"S17",2015-07-06,"University Town"
"4841",2016-12-05,"COM2",2016-12-05,"House 7"
"4842",2016-01-15,"COM2",2016-01-15,"Opp. KR MRT Station"
"4843",2016-01-11,"KR MRT Station ",2016-01-11,"Central Library"
"4844",2015-04-28,"Central Library",2015-04-28,"University Town"
"4845",2017-02-03,"Central Library",2017-02-03,"COM2"
"4846",2015-01-12,"KR MRT Station ",2015-01-12,"University Town"
"4847",2017-11-26,"LT29",2017-11-26,"S17"
"4848",2015-03-02,"S17",2015-03-02,"Opp. KR MRT Station"
"4849",2017-11-09,"COM2",2017-11-09,"University Town"
"4850",2017-08-11,"KR MRT Station ",2017-08-11,"Computer Centre"
"4851",2017-06-08,"University Town",2017-06-08,"LT29"
"4852",2017-06-29,"S17",2017-06-29,"Opp. KR MRT Station"
"4853",2016-10-04,"Opp. University Hall",2016-10-04,"COM2"
"4854",2017-02-15,"S17",2017-02-15,"Yusof Ishak House"
"4855",2017-12-08,"Central Library",2017-12-08,"Opp. NUSS"
"4856",2017-09-11,"University Town",2017-09-11,"S17"
"4857",2017-08-10,"LT29",2017-08-10,"University Town"
"4858",2017-04-25,"Central Library",2017-04-25,"LT29"
"4859",2016-07-05,"LT29",2016-07-05,"EA"
"4860",2017-03-09,"LT29",2017-03-09,"Opp. KR MRT Station"
"4861",2015-10-28,"Opp. KR MRT Station",2015-10-28,"Carpark 11 (BIZ)"
"4862",2016-11-04,"University Town",2016-11-04,"S17"
"4863",2015-04-21,"BIZ2",2015-04-21,"S17"
"4864",2015-11-09,"AS7",2015-11-09,"Opp. Yusof Ishak House"
"4865",2015-01-05,"S17",2015-01-05,"LT29"
"4866",2016-03-03,"KR MRT Station ",2016-03-03,"Opp. KR MRT Station"
"4867",2015-04-10,"House 12",2015-04-10,"KR MRT Station "
"4868",2016-10-28,"Opp. Hon Sui Sen Memorial Library",2016-10-28,"Computer Centre"
"4869",2015-12-17,"S17",2015-12-17,"Ventus (Opp. LT13)"
"4870",2016-06-09,"KR MRT Station ",2016-06-09,"Computer Centre"
"4871",2015-03-24,"Central Library",2015-03-24,"Computer Centre"
"4872",2016-03-25,"Computer Centre",2016-03-25,"LT29"
"4873",2015-11-10,"Opp. Yusof Ishak House",2015-11-10,"University Town"
"4874",2016-08-24,"KR MRT Station ",2016-08-24,"LT29"
"4875",2017-05-09,"COM2",2017-05-09,"Computer Centre"
"4876",2016-05-24,"LT29",2016-05-24,"University Town"
"4877",2015-01-09,"Museum",2015-01-09,"LT29"
"4878",2017-03-12,"LT29",2017-03-12,"Opp. University Hall"
"4879",2015-11-19,"University Town",2015-11-19,"University Town"
"4880",2015-07-04,"House 15",2015-07-04,"Central Library"
"4881",2015-04-02,"Central Library",2015-04-02,"S17"
"4882",2017-08-22,"PGP",2017-08-22,"Central Library"
"4883",2017-10-08,"COM2",2017-10-08,"KR MRT Station "
"4884",2016-08-26,"KR MRT Station ",2016-08-26,"Computer Centre"
"4885",2016-02-16,"Opp. KR MRT Station",2016-02-16,"KR MRT Station "
"4886",2016-10-22,"KR MRT Station ",2016-10-22,"COM2"
"4887",2017-03-16,"University Town",2017-03-16,"Central Library"
"4888",2016-02-23,"COM2",2016-02-23,"Opp. University Health Centre"
"4889",2016-10-15,"Opp. Hon Sui Sen Memorial Library",2016-10-15,"Computer Centre"
"4890",2017-05-08,"KR MRT Station ",2017-05-08,"COM2"
"4891",2016-09-06,"Opp. NUSS",2016-09-06,"Computer Centre"
"4892",2016-11-11,"COM2",2016-11-11,"Raffles Hall"
"4893",2015-11-20,"COM2",2015-11-20,"LT29"
"4894",2017-09-08,"Central Library",2017-09-08,"Computer Centre"
"4895",2016-08-26,"Yusof Ishak House",2016-08-26,"KR MRT Station "
"4896",2016-01-14,"Opp. KR MRT Station",2016-01-14,"COM2"
"4897",2015-12-23,"University Health Centre",2015-12-23,"Central Library"
"4898",2017-07-07,"KR MRT Station ",2017-07-07,"S17"
"4899",2017-06-05,"Computer Centre",2017-06-05,"University Town"
"4900",2015-05-15,"Opp. University Hall",2015-05-15,"COM2"
"4901",2015-10-02,"University Town",2015-10-02,"Carpark 11 (BIZ)"
"4902",2017-08-04,"University Town",2017-08-04,"LT13"
"4903",2015-10-26,"LT29",2015-10-26,"AS7"
"4904",2016-06-27,"Central Library",2016-06-27,"LT29"
"4905",2016-12-21,"House 15",2016-12-21,"University Town"
"4906",2017-10-04,"University Town",2017-10-04,"Yusof Ishak House"
"4907",2017-07-20,"S17",2017-07-20,"KR MRT Station "
"4908",2016-12-29,"Opp. University Hall",2016-12-29,"Computer Centre"
"4909",2017-06-09,"Computer Centre",2017-06-09,"Central Library"
"4910",2017-11-16,"House 12",2017-11-16,"KR MRT Station "
"4911",2015-05-25,"S17",2015-05-25,"Central Library"
"4912",2017-11-09,"Raffles Hall",2017-11-09,"Computer Centre"
"4913",2015-07-21,"University Town",2015-07-21,"Carpark 11 (BIZ)"
"4914",2016-06-18,"University Town",2016-06-18,"Opp. KR MRT Station"
"4915",2017-01-25,"BIZ2",2017-01-25,"Computer Centre"
"4916",2016-06-24,"COM2",2016-06-24,"Central Library"
"4917",2015-02-24,"Central Library",2015-02-24,"Computer Centre"
"4918",2016-06-18,"Opp. KR MRT Station",2016-06-18,"Computer Centre"
"4919",2017-10-16,"KR MRT Station ",2017-10-16,"University Town"
"4920",2017-02-12,"KR MRT Station ",2017-02-12,"Yusof Ishak House"
"4921",2015-11-03,"Computer Centre",2015-11-03,"COM2"
"4922",2016-10-17,"COM2",2016-10-17,"KR MRT Station "
"4923",2016-03-24,"Opp. KR MRT Station",2016-03-24,"LT29"
"4924",2016-03-24,"KR MRT Station ",2016-03-24,"KR MRT Station "
"4925",2015-08-27,"Raffles Hall",2015-08-27,"KR MRT Station "
"4926",2016-06-06,"S17",2016-06-06,"Opp. KR MRT Station"
"4927",2016-09-09,"Central Library",2016-09-09,"LT29"
"4928",2017-09-06,"S17",2017-09-06,"KR MRT Station "
"4929",2015-10-19,"Central Library",2015-10-19,"Central Library"
"4930",2016-08-18,"KR MRT Station ",2016-08-18,"University Health Centre"
"4931",2016-02-26,"Computer Centre",2016-02-26,"LT29"
"4932",2015-09-01,"University Town",2015-09-01,"Opp. KR MRT Station"
"4933",2015-12-28,"KR MRT Station ",2015-12-28,"Opp. KR MRT Station"
"4934",2016-01-06,"COM2",2016-01-06,"EA"
"4935",2015-12-03,"COM2",2015-12-03,"KR MRT Station "
"4936",2015-05-15,"University Town",2015-05-15,"Yusof Ishak House"
"4937",2016-12-13,"University Town",2016-12-13,"COM2"
"4938",2017-01-01,"Opp. KR MRT Station",2017-01-01,"LT29"
